tc_name,index,account_json_file_name,account_effective_at,default_payment_process_method,processor_name,payment_effective_dt,event_status
pp884 - manual pay with ACH - validate manual payment line item is pending status in line item and event table,1,account_payment_processor_ach_repay.json,2021-08-10T02:18:27-08:00,ACH,REPAY,2021-10-01T09:11:28+00:00,Created
pp886 - manual pay with ACH - verify available credit and total balance is reduced for payment pending status,2,account_payment_processor_ach_repay.json,2021-08-15T02:18:27-08:00,ACH,REPAY,2021-09-25T09:11:28+00:00,Created
pp884A - manual pay with Debit Card - validate manual payment line item is pending status in line item and event table,3,account_payment_processor_debit_card_repay.json,2021-08-15T02:18:27-08:00,DEBIT_CARD,REPAY,2021-10-01T09:11:28+00:00,Open
pp886A - manual pay with Debit Card - verify available credit and total balance is reduced for payment pending status,4,account_payment_processor_debit_card_repay.json,2021-08-15T02:18:27-08:00,DEBIT_CARD,REPAY,2021-09-25T09:11:28+00:00,Open
pp932 - manual pay with Dwolla - validate manual payment line item is pending status in line item and event table,5,account_payment_processor_ach_dwolla.json,2021-08-10T02:18:27-08:00,ACH,DWOLLA,2021-09-20T09:11:28+00:00,pending
pp934 - manual pay with Dwolla - verify available credit and total balance is reduced for payment pending status,6,account_payment_processor_ach_dwolla.json,2021-08-10T02:18:27-08:00,ACH,DWOLLA,2021-09-10T09:11:28+00:00,pending
pp969 - manual pay with Modern treasury - validate manual payment line item is pending status in line item and event table,7,account_payment_processor_ach_modern_treasury.json,2021-08-05T02:18:27-08:00,ACH,MODERN_TREASURY,2021-09-13T09:11:28+00:00,approved
pp971 - manual pay with Modern treasury - verify available credit and total balance is  reduced for payment pending status,8,account_payment_processor_ach_modern_treasury.json,2021-08-07T02:18:27-08:00,ACH,MODERN_TREASURY,2021-10-23T09:11:28+00:00,approved
pp1006 - manual pay with Checkout - validate manual payment line item is pending status in line item and event table,9,account_payment_processor_credit_card_checkout.json,2021-08-08T02:18:27-08:00,CREDIT_CARD,CHECKOUT,2021-10-05T09:11:28+00:00,Authorized
pp1008 - manual pay with Checkout - verify available credit and total balance is  reduced for payment pending status,10,account_payment_processor_credit_card_checkout.json,2021-08-09T02:18:27-08:00,CREDIT_CARD,CHECKOUT,2021-10-28T09:11:28+00:00,Authorized
