tc_name,index,product_effective_at,product_template_name,product_time_zone,cycle_interval,cycle_due_interval,charge_amount,account_effective_at,charge_effective_at,exp_effective_at
TZ_Charge_01 Validate effective at after charge for Installment Product with UTC -09:00,1,2017-11-15T12:00:00-04:00,product_installment.json,America/Anchorage,1 month,2 days,10000,2020-11-15T10:00:00-09:00,2021-12-20T12:16:16-09:00,2021-12-20T12:16:16-09:00
TZ_Charge_02 Validate effective at after charge for Installment Product with UTC -10:00,2,2017-11-15T12:00:00-04:00,product_installment.json,America/Adak,1 month,2 days,10000,2020-11-15T10:00:00-10:00,2021-12-20T12:16:16-10:00,2021-12-20T12:16:16-10:00
TZ_Charge_03 Validate effective at after charge for Installment Product with UTC -05:00,3,2017-11-15T12:00:00-04:00,product_installment.json,America/Detroit,1 month,2 days,10000,2020-11-15T10:00:00-05:00,2021-12-20T12:16:16-05:00,2021-12-20T12:16:16-05:00
TZ_Charge_04 Validate effective at after charge for Installment Product with UTC -06:00,4,2017-11-15T12:00:00-04:00,product_installment.json,America/Chicago,1 month,2 days,10000,2020-11-15T10:00:00-06:00,2021-12-20T12:16:16-06:00,2021-12-20T12:16:16-06:00
TZ_Charge_05 Validate effective at after charge for Revolving Product with UTC -08:00,5,2017-11-15T12:00:00-04:00,product_revolving.json,America/Los_Angeles,1 month,2 days,10000,2020-11-15T10:00:00-08:00,2021-12-20T12:16:16-08:00,2021-12-20T12:16:16-08:00
TZ_Charge_06 Validate effective at after charge for Revolving Product with UTC -05:00,6,2017-11-15T12:00:00-04:00,product_revolving.json,America/New_York,1 month,2 days,10000,2020-11-15T10:00:00-05:00,2021-12-20T12:16:16-05:00,2021-12-20T12:16:16-05:00
TZ_Charge_07 Validate effective at after charge for Chanrge card Product with UTC -07:00,7,2017-11-15T12:00:00-04:00,product_charge.json,America/Edmonton,1 month,2 days,10000,2020-11-15T10:00:00-07:00,2021-12-20T12:16:16-07:00,2021-12-20T12:16:16-07:00
TZ_Charge_08 Validate effective at after charge for BNPL Product with UTC -07:00,8,2017-11-15T12:00:00-04:00,product_csv.json,America/Denver,1 month,2 days,10000,2020-11-15T10:00:00-07:00,2021-12-20T12:16:16-07:00,2021-12-20T12:16:16-07:00
TZ_Charge_09 Validate effective at after doing charge from New_York for created product at Los Angeles,9,2017-11-15T12:00:00-04:00,product_installment.json,America/Los_Angeles,1 month,2 days,10000,2020-11-15T10:00:00-08:00,2021-12-20T12:16:16-06:00,2021-12-20T10:16:16-08:00
TZ_Charge_10 Validate effective at after doing charge from Chicago for created product at New York,10,2017-11-15T12:00:00-04:00,product_installment.json,America/New_York,1 month,2 days,10000,2020-11-15T10:00:00-08:00,2021-12-20T12:16:16-06:00,2021-12-20T13:16:16-05:00
TZ_Charge_11 Validate effective at after doing charge from Detroit for created product at Chicago,11,2017-11-15T12:00:00-04:00,product_installment.json,America/Chicago,1 month,2 days,10000,2020-11-15T10:00:00-06:00,2021-12-20T12:16:16-05:00,2021-12-20T11:16:16-06:00
TZ_Charge_12 Validate effective at after doing charge at Los Angeles with day light savings,12,2017-11-15T12:00:00-04:00,product_installment.json,America/Los_Angeles,1 month,2 days,10000,2020-11-15T10:00:00-08:00,2021-06-20T12:16:16-08:00,2021-06-20T13:16:16-07:00
TZ_Charge_13 Validate effective at after doing charge at Adak with day light savings,13,2017-11-15T12:00:00-04:00,product_installment.json,America/Adak,1 month,2 days,10000,2020-11-15T10:00:00-08:00,2021-06-20T12:16:16-10:00,2021-06-20T13:16:16-09:00
TZ_Charge_14 Validate effective at after doing charge at New York with day light savings,14,2017-11-15T12:00:00-04:00,product_installment.json,America/New_York,1 month,2 days,10000,2020-11-15T10:00:00-05:00,2021-06-20T12:16:16-05:00,2021-06-20T13:16:16-04:00
TZ_Charge_15 Validate effective at after doing charge at Chicago with day light savings,15,2017-11-15T12:00:00-04:00,product_installment.json,America/Chicago,1 month,2 days,10000,2020-11-15T10:00:00-06:00,2021-06-20T12:16:16-06:00,2021-06-20T13:16:16-05:00
TZ_Charge_16 Validate effective at after doing charge at Chicago in leaf year,16,2020-02-29T12:00:00-04:00,product_installment.json,America/Denver,1 month,2 days,10000,2020-02-29T10:00:00-07:00,2020-02-29T12:16:16-07:00,2020-02-29T12:16:16-07:00
